REMITOS,CANTIDAD
1000024371,132
1000024372,60
1000024373,99
1000024374,471
1000024375,294
1000024376,108
1000024377,67
1000024378,560
1000024379,154
1000024380,78
1000024381,81
1000024382,311
1000024383,1
1000024384,55
1000024385,580
1000024386,314
1000024387,238
1000024388,40
1000024389,37
1000024390,298
1000024391,26
1000024392,10
1000024393,12
1000024394,1225
1000024395,54
1000024396,248
1000024397,120
1000024398,8
1000024399,48
1000024400,1088
1000024401,50
1000024402,309
1000024403,368
1000024404,206
1000024405,20
1000024406,705
1000024407,912
1000024408,162
1000024409,24
1000024410,295
1000024411,269
1000024412,600
1000024413,151
1000024414,238
1000024415,1145
1000024416,928
1000024417,814
1000024418,80
1000024419,196
1000024420,110
1000024421,128
1000024422,53
1000024423,19
1000024424,1199
1000024425,666
1000024426,228
1000024427,53
1000024428,706
1000024429,476
1000024430,179
1000024431,32
1000024432,486
1000024433,269
1000024434,42
1000024435,109
1000024436,60
1000024437,4
1000024438,3
1000024439,409
1000024440,144
1000024441,160
1000024442,30
1000024443,111
1000024444,1191
1000024445,449
1000024446,379
1000024447,108
1000024448,145
1000024449,60
1000024450,159
1000024451,3344
1000024452,253
1000024453,9
1000024454,20
1000024455,5
1000024456,62
1000024457,460
1000024458,44
1000024459,12
1000024460,707
1000024461,54
1000024462,244
1000024463,300
1000024464,556
1000024465,362
1000024466,546
1000024467,265
1000024468,81
1000024469,39
1000024470,27
1000024471,84
1000024472,100
1000024473,44
1000024474,8
1000024475,63
1000024476,106
1000024477,40
1000024478,94
1000024479,90
1000024480,51
1000024481,74
1000024482,118
1000024483,27
1000024484,47
1000024485,42
1000024486,40
1000024487,15
1000024488,70
1000024489,46
1000024490,55
1000024491,42
1000024492,264
1000024493,102
1000024494,6
1000024495,46
1000024496,114
1000024497,33
1000024498,599
1000024499,428
1000024500,170
1000024501,272
1000024502,359
1000024503,101
1000024504,38
1000024505,8419
1000024506,6
1000024507,965
1000024508,252
1000024509,3137
1000024510,271
1000024511,591
1000024512,175
1000024513,340
1000024514,528
1000024515,3
1000024516,293
1000024517,156
1000024518,61
1000024519,72
1000024520,5
1000024521,84
1000024522,23
1000024523,18
1000024524,17
1000024525,22
1000024526,342
1000024527,76
1000024528,1023
1000024529,902
1000024530,826
1000024531,1
1000024532,509
1000024533,194
1000024534,129
1000024535,32
1000024536,2474
1000024537,14
1000024538,177
1000024539,204
1000024540,29
1000024541,30
1000024542,67
1000024543,102
1000024544,119
1000024545,44
1000024546,90
1000024547,2639
1000024548,942
1000024549,23
1000024550,750
1000024551,328
1000024552,83
1000024553,114
1000024554,59
1000024555,69
1000024556,3
1000024557,14
1000024558,30
1000024559,9
1000024560,144
1000024561,1121
1000024562,102
1000024563,83
1000024564,16
1000024565,3
1000024566,50
1000024567,54
1000024568,96
1000024569,215
1000024570,5
1000024571,35
1000024572,126
1000024573,84
1000024574,120
1000024575,118
1000024576,40
1000024577,144
1000024578,3
1000024579,4
1000024580,16
1000024581,3
1000024582,1712
1000024583,301
1000024584,566
1000024585,136
1000024586,205
1000024587,39
1000024588,287
1000024589,45
1000024590,150
1000024591,30
1000024592,7
1000024593,97
1000024594,40
1000024595,10
1000024596,6
1000024597,55
1000024598,8
1000024599,748
1000024600,174
1000024601,10
1000024602,330
1000024603,21
1000024604,3
1000024605,551
1000024606,144
1000024607,63
1000024608,495
1000024609,127
1000024610,50
1000024611,160
1000024612,18
1000024613,1089
1000024614,668
1000024615,474
1000024616,232
1000024617,88
1000024618,25
1000024619,433
1000024620,503
1000024621,52
1000024623,142
1000024624,57
1000024625,20
1000024626,77
1000024627,35
1000024628,61
1000024629,20
1000024630,491
1000024631,64
1000024633,72
1000024634,60
1000024635,1160
1000024636,41
1000024637,30
1000024638,41
1000024639,31
1000024640,228
1000024641,30
1000024642,115
1000024643,204
1000024644,161
1000024645,100
1000024646,80
1000024647,65
1000024648,35
1000024649,100
1000024650,20
1000024651,21
1000024652,50
1000024653,38
1000024654,813
1000024656,197
1000024657,125
1000024658,172
1000024659,73
1000024660,99
1000024661,84
1000024662,60
1000024663,53
1000024664,217
1000024665,60
1000024666,191
1000024667,37
1000024668,43
1000024669,124
1000024670,45
1000024671,93
1000024672,97
1000024673,78
1000024674,104
1000024675,303
1000024676,53
1000024677,240
1000024678,181
1000024679,33
1000024680,124
1000024681,268
1000024682,39
1000024683,26
1000024684,177
1000024685,273
1000024686,274
1000024687,104
1000024688,192
1000024689,29
1000024690,294
1000024691,140
1000024692,44
1000024693,10
1000024694,74
1000024695,454
1000024696,87
1000024697,26
1000024698,128
1000024699,270
1000024700,3
1000024701,41
1000024702,3
1000024703,61
1000024704,33
1000024705,38
1000024706,195
1000024707,194
1000024708,119
1000024709,203
1000024710,266
1000024711,41
1000024712,183
1000024713,292
1000024714,176
1000024715,104
1000024716,55
1000024717,52
1000024718,2
1000024719,40
1000024720,8
1000024721,41
1000024722,310
1000024723,514
1000024724,550
1000024725,109
1000024726,233
1000024727,418
1000024728,184
1000024729,310
1000024730,5
1000024731,626
1000024732,111
1000024733,189
1000024734,186
1000024735,78
1000024736,55
1000024737,53
1000024738,189
1000024739,48
1000024740,148
1000024741,24
1000024742,686
1000024743,293
1000024744,998
1000024745,178
1000024746,323
1000024747,10
1000024748,4
1000024749,198
1000024750,94
1000024751,332
1000024752,188
1000024753,134
1000024754,711
1000024755,103
1000024756,267
1000024757,104
1000024758,20
1000024759,67
1000024760,145
1000024761,168
1000024762,86
1000024763,52
1000024764,66
1000024765,35
1000024766,274
1000024767,278
1000024768,726
1000024769,165
1000024770,262
1000024771,297
1000024772,829
1000024773,166
1000024774,366
1000024776,162
1000024777,507
1000024778,27
1000024779,14
1000024780,145
1000024781,19
1000024782,99
1000024783,206
1000024784,112
1000024785,10
1000024786,114
1000024787,205
1000024788,157
1000024789,167
1000024790,292
1000024791,41
1000024792,48
1000024793,458
1000024794,152
1000024795,14
1000024796,39
1000024797,189
1000024798,76
1000024799,165
1000024800,27
1000024801,174
1000024802,60
1000024803,7
1000024804,61
1000024805,340
1000024806,436
1000024807,180
1000024808,110
1000024809,144
1000024810,62
1000024811,129
1000024812,6575
1000024813,523
1000024814,220
1000024815,42
1000024816,40
1000024817,299
1000024818,83
1000024819,909
1000024820,26
1000024821,275
1000024822,341
1000024823,30
1000024824,339
1000024825,52
1000024826,382
1000024827,1303
1000024828,1004
1000024829,633
1000024830,275
1000024831,154
1000024832,170
1000024833,237
1000024834,542
1000024835,217
1000024836,497
1000024837,349
1000024838,50
1000024839,97
1000024840,30
1000024841,8
1000024842,190
1000024843,43
1000024844,8
1000024845,155
1000024846,40
1000024847,17
1000024848,1
1000024849,23
1000024850,311
1000024851,30
1000024852,57
1000024853,296
1000024854,692
1000024855,510
1000024856,91
1000024857,191
1000024858,517
1000024859,1270
1000024860,34
1000024861,71
1000024862,375
1000024863,300
1000024864,598
1000024865,904
1000024866,80
1000024867,182
1000024868,28
1000024869,164
1000024870,69
1000024871,135
1000024872,50
1000024873,242
1000024874,10
1000024875,50
1000024876,160
1000024877,124
1000024878,53
1000024879,20
1000024880,195
1000024881,184
1000024882,333
1000024883,1018
1000024884,441
1000024885,783
1000024886,1108
1000024887,115
1000024888,240
1000024889,190
1000024890,48
1000024891,689
1000024892,121
1000024893,836
1000024894,8
1000024895,112
1000024896,319
1000024897,117
1000024898,300
1000024899,174
1000024900,360
1000024901,228
1000024902,135
1000024903,149
1000024904,56
1000024905,282
1000024906,147
1000024907,46
1000024908,102
1000024909,32
1000024910,40
1000024911,132
1000024913,6
1000024914,43
1000024915,31
1000024916,231
1000024917,644
1000024918,758
1000024919,314
1000024920,138
1000024921,198
1000024922,297
1000024923,90
1000024924,90
1000024925,45
1000024926,36
1000024927,119
1000024928,178
1000024929,7
1000024930,53
1000024931,20
1000024932,37
1000024933,97
1000024934,152
1000024935,69
1000024936,93
1000024937,41
1000024938,211
1000024939,88
1000024940,212
1000024941,347
1000024942,80
1000024943,316
1000024944,24
1000024945,172
1000024946,131
1000024947,146
1000024948,142
1000024949,139
1000024950,93
1000024951,6
1000024952,344
1000024953,379
1000024954,120
1000024955,77
1000024956,47
1000024957,100
1000024958,27
1000024959,149
1000024960,3
1000024961,32
1000024962,22
1000024963,40
1000024964,46
1000024965,60
1000024966,40
1000024967,100
1000024968,96
1000024969,14
1000024970,28
1000024971,90
1000024972,318
1000024973,81
1000024974,110
1000024976,867
1000024977,83
1000024978,72
1000024979,147
1000024980,4
1000024981,82
1000024982,9
1000024983,44
1000024984,60
1000024985,2
1000024986,44
1000024987,140
1000024988,2100
1000024989,347
1000024990,417
1000024991,93
1000024992,40
1000024993,36
1000024994,8
1000024995,13
1000024996,244
1000024998,285
1000024999,465
1000025000,24
1000025001,90
1000025002,66
1000025003,20
1000025004,251
1000025006,48
1000025007,120
1000025008,120
1000025009,120
1000025010,240
1000025011,7
1000025012,936
1000025013,4
1000025014,69
1000025015,120
1000025016,1078
1000025017,31
1000025018,684
1000025019,168
1000025020,232
1000025021,70
1000025022,80
1000025023,72
1000025024,90
1000025025,1311
1000025026,411
1000025027,652
1000025028,76
1000025029,269
1000025030,65
1000025031,16
1000025032,68
1000025033,67
1000025034,18
1000025035,5
1000025036,15
1000025037,490
1000025038,66
1000025039,143
1000025040,35
1000025041,120
1000025042,487
1000025043,70
1000025044,115
1000025045,66
1000025046,208
1000025047,1379
1000025048,290
1000025049,674
1000025050,140
1000025051,267
1000025052,106
1000025053,90
1000025054,310
1000025055,18
1000025056,32
