remito,remitoOriginal,cantidad
1000024161,0001000024161,79
1000024162,0001000024162,80
1000024163,0001000024163,72
1000024164,0001000024164,393
1000024165,0001000024165,301
1000024166,0001000024166,1656
1000024167,0001000024167,237
1000024168,0001000024168,18
1000024169,0001000024169,78
1000024170,0001000024170,530
1000024171,0001000024171,2
1000024172,0001000024172,84
1000024173,0001000024173,100
1000024174,0001000024174,45
1000024175,0001000024175,172
1000024176,0001000024176,10
1000024177,0001000024177,100
1000024178,0001000024178,180
1000024179,0001000024179,652
1000024180,0001000024180,552
1000024181,0001000024181,187
1000024182,0001000024182,48
1000024183,0001000024183,1
1000024184,0001000024184,830
1000024185,0001000024185,460
1000024186,0001000024186,18
1000024187,0001000024187,2
1000024188,0001000024188,572
1000024189,0001000024189,57
1000024190,0001000024190,25
1000024191,0001000024191,66
1000024192,0001000024192,22
1000024193,0001000024193,1
1000024194,0001000024194,105
1000024195,0001000024195,45
1000024196,0001000024196,20
1000024197,0001000024197,20
1000024198,0001000024198,740
1000024199,0001000024199,487
1000024200,0001000024200,277
1000024201,0001000024201,399
1000024202,0001000024202,8
1000024203,0001000024203,416
1000024204,0001000024204,1097
1000024205,0001000024205,300
1000024206,0001000024206,44
1000024207,0001000024207,136
1000024208,0001000024208,586
1000024209,0001000024209,15
1000024210,0001000024210,313
1000024211,0001000024211,75
1000024212,0001000024212,152
1000024213,0001000024213,225
1000024214,0001000024214,99
1000024215,0001000024215,303
1000024216,0001000024216,252
1000024217,0001000024217,216
1000024218,0001000024218,30
1000024219,0001000024219,104
1000024220,0001000024220,108
1000024221,0001000024221,5
1000024222,0001000024222,2322
1000024223,0001000024223,236
1000024224,0001000024224,657
1000024225,0001000024225,42
1000024226,0001000024226,511
1000024227,0001000024227,112
1000024228,0001000024228,292
1000024229,0001000024229,95
1000024230,0001000024230,20
1000024231,0001000024231,110
1000024232,0001000024232,238
1000024233,0001000024233,82
1000024234,0001000024234,24
1000024235,0001000024235,5
1000024236,0001000024236,24
1000024237,0001000024237,10
1000024238,0001000024238,340
1000024239,0001000024239,137
1000024240,0001000024240,235
1000024241,0001000024241,108
1000024242,0001000024242,687
1000024243,0001000024243,89
1000024244,0001000024244,60
1000024245,0001000024245,40
1000024246,0001000024246,786
1000024247,0001000024247,178
1000024248,0001000024248,188
1000024250,0001000024250,297
1000024251,0001000024251,180
1000024252,0001000024252,49
1000024253,0001000024253,212
1000024254,0001000024254,1305
1000024255,0001000024255,693
1000024256,0001000024256,772
1000024257,0001000024257,952
1000024258,0001000024258,289
1000024259,0001000024259,5
1000024260,0001000024260,103
1000024261,0001000024261,1203
1000024262,0001000024262,462
1000024263,0001000024263,223
1000024264,0001000024264,10
1000024265,0001000024265,40
1000024266,0001000024266,118
1000024267,0001000024267,150
1000024268,0001000024268,24
1000024269,0001000024269,77
1000024270,0001000024270,48
1000024271,0001000024271,963
1000024272,0001000024272,228
1000024273,0001000024273,98
1000024274,0001000024274,110
1000024275,0001000024275,742
1000024276,0001000024276,42
1000024277,0001000024277,26
1000024278,0001000024278,20
1000024279,0001000024279,53
1000024280,0001000024280,315
1000024281,0001000024281,294
1000024282,0001000024282,49
1000024283,0001000024283,125
1000024284,0001000024284,145
1000024285,0001000024285,25
1000024286,0001000024286,98
1000024287,0001000024287,357
1000024288,0001000024288,505
1000024289,0001000024289,1499
1000024290,0001000024290,336
1000024291,0001000024291,430
1000024292,0001000024292,1400
1000024293,0001000024293,52
1000024294,0001000024294,43
1000024295,0001000024295,883
1000024296,0001000024296,59
1000024297,0001000024297,60
1000024298,0001000024298,66
1000024299,0001000024299,8
1000024300,0001000024300,495
1000024301,0001000024301,30
1000024302,0001000024302,126
1000024303,0001000024303,4
1000024304,0001000024304,292
1000024305,0001000024305,150
1000024306,0001000024306,680
1000024307,0001000024307,85
1000024309,0001000024309,32
1000024310,0001000024310,13
1000024311,0001000024311,40
1000024312,0001000024312,12
1000024313,0001000024313,418
1000024314,0001000024314,238
1000024315,0001000024315,41
1000024316,0001000024316,121
1000024317,0001000024317,63
1000024318,0001000024318,808
1000024319,0001000024319,1197
1000024320,0001000024320,176
1000024321,0001000024321,96
1000024322,0001000024322,128
1000024323,0001000024323,10
1000024324,0001000024324,132
1000024325,0001000024325,65
1000024326,0001000024326,84
1000024327,0001000024327,449
1000024328,0001000024328,18
1000024329,0001000024329,12
1000024330,0001000024330,24
1000024331,0001000024331,536
1000024332,0001000024332,105
1000024333,0001000024333,151
1000024334,0001000024334,46
1000024335,0001000024335,1040
1000024336,0001000024336,350
1000024337,0001000024337,44
1000024338,0001000024338,128
1000024339,0001000024339,30
1000024340,0001000024340,60
1000024341,0001000024341,195
1000024342,0001000024342,168
1000024343,0001000024343,21
1000024344,0001000024344,206
1000024345,0001000024345,102
1000024346,0001000024346,130
1000024347,0001000024347,70
1000024348,0001000024348,14
1000024349,0001000024349,88
1000024350,0001000024350,70
1000024351,0001000024351,164
1000024352,0001000024352,27
1000024353,0001000024353,102
1000024354,0001000024354,183
1000024355,0001000024355,562
1000024356,0001000024356,1020
1000024357,0001000024357,1301
1000024358,0001000024358,72
1000024359,0001000024359,70
1000024360,0001000024360,598
1000024361,0001000024361,473
1000024362,0001000024362,180
1000024363,0001000024363,667
1000024364,0001000024364,362
1000024365,0001000024365,159
1000024366,0001000024366,110
1000024367,0001000024367,204
1000024368,0001000024368,48
1000024369,0001000024369,100
1000024370,0001000024370,267
1000024371,0001000024371,132
1000024372,0001000024372,60
1000024373,0001000024373,99
1000024374,0001000024374,471
1000024375,0001000024375,294
1000024376,0001000024376,108
1000024377,0001000024377,67
1000024378,0001000024378,560
1000024379,0001000024379,154
1000024380,0001000024380,78
1000024381,0001000024381,81
1000024382,0001000024382,311
1000024383,0001000024383,1
1000024384,0001000024384,55
1000024385,0001000024385,580
1000024386,0001000024386,314
1000024387,0001000024387,238
1000024388,0001000024388,40
1000024389,0001000024389,37
1000024390,0001000024390,298
1000024391,0001000024391,26
1000024392,0001000024392,10
1000024393,0001000024393,12
1000024394,0001000024394,1225
1000024395,0001000024395,54
1000024396,0001000024396,248
1000024397,0001000024397,120
1000024398,0001000024398,8
1000024399,0001000024399,48
1000024400,0001000024400,1088
1000024401,0001000024401,50
1000024402,0001000024402,309
1000024403,0001000024403,368
1000024404,0001000024404,206
1000024405,0001000024405,20
1000024406,0001000024406,705
1000024407,0001000024407,912
1000024408,0001000024408,162
1000024409,0001000024409,24
1000024410,0001000024410,295
1000024411,0001000024411,269
1000024412,0001000024412,600
1000024413,0001000024413,151
1000024414,0001000024414,238
1000024415,0001000024415,1145
1000024416,0001000024416,928
1000024417,0001000024417,814
1000024418,0001000024418,80
1000024419,0001000024419,196
1000024420,0001000024420,110
1000024421,0001000024421,128
1000024422,0001000024422,53
1000024423,0001000024423,19
1000024424,0001000024424,1199
1000024425,0001000024425,666
1000024426,0001000024426,228
1000024427,0001000024427,53
1000024428,0001000024428,706
1000024429,0001000024429,476
1000024430,0001000024430,179
1000024431,0001000024431,32
1000024432,0001000024432,486
1000024433,0001000024433,269
1000024434,0001000024434,42
1000024435,0001000024435,109
1000024436,0001000024436,60
1000024437,0001000024437,4
1000024438,0001000024438,3
1000024439,0001000024439,409
1000024440,0001000024440,144
1000024441,0001000024441,160
1000024442,0001000024442,30
1000024443,0001000024443,111
1000024444,0001000024444,1191
1000024445,0001000024445,449
1000024446,0001000024446,379
1000024447,0001000024447,108
1000024448,0001000024448,145
1000024449,0001000024449,60
1000024450,0001000024450,159
1000024451,0001000024451,3344
1000024452,0001000024452,253
1000024453,0001000024453,9
1000024454,0001000024454,20
1000024455,0001000024455,5
1000024456,0001000024456,62
1000024457,0001000024457,460
1000024458,0001000024458,44
1000024459,0001000024459,12
1000024460,0001000024460,707
1000024461,0001000024461,54
1000024462,0001000024462,244
1000024463,0001000024463,300
1000024464,0001000024464,556
1000024465,0001000024465,362
1000024466,0001000024466,546
1000024467,0001000024467,265
1000024468,0001000024468,81
1000024469,0001000024469,39
1000024470,0001000024470,27
1000024471,0001000024471,84
1000024472,0001000024472,100
1000024473,0001000024473,44
1000024474,0001000024474,8
1000024475,0001000024475,63
1000024476,0001000024476,106
1000024477,0001000024477,40
1000024478,0001000024478,94
1000024479,0001000024479,90
1000024480,0001000024480,51
1000024481,0001000024481,74
1000024482,0001000024482,118
1000024483,0001000024483,27
1000024484,0001000024484,47
1000024485,0001000024485,42
1000024486,0001000024486,40
1000024487,0001000024487,15
1000024488,0001000024488,70
1000024489,0001000024489,46
1000024490,0001000024490,55
1000024491,0001000024491,42
1000024492,0001000024492,264
1000024493,0001000024493,102
1000024494,0001000024494,6
1000024495,0001000024495,46
1000024496,0001000024496,114
1000024497,0001000024497,33
1000024498,0001000024498,599
1000024499,0001000024499,428
1000024500,0001000024500,170
1000024501,0001000024501,272
1000024502,0001000024502,359
1000024503,0001000024503,101
1000024504,0001000024504,38
1000024505,0001000024505,8419
1000024506,0001000024506,6
1000024507,0001000024507,965
1000024508,0001000024508,252
1000024509,0001000024509,3137
1000024510,0001000024510,271
1000024511,0001000024511,591
1000024512,0001000024512,175
1000024513,0001000024513,340
1000024514,0001000024514,528
1000024515,0001000024515,3
1000024516,0001000024516,293
1000024517,0001000024517,156
1000024518,0001000024518,61
1000024519,0001000024519,72
1000024520,0001000024520,5
