remito,remitoOriginal,cantidad
1000024993,0001000024993,36
1000024994,0001000024994,8
1000024995,0001000024995,13
1000024996,0001000024996,244
1000024998,0001000024998,285
1000024999,0001000024999,465
1000025000,0001000025000,24
1000025001,0001000025001,90
1000025002,0001000025002,66
1000025003,0001000025003,20
1000025004,0001000025004,251
1000025006,0001000025006,48
1000025007,0001000025007,120
1000025008,0001000025008,120
1000025009,0001000025009,120
1000025010,0001000025010,240
1000025011,0001000025011,7
1000025012,0001000025012,936
1000025013,0001000025013,4
1000025014,0001000025014,69
1000025015,0001000025015,120
1000025016,0001000025016,1078
1000025017,0001000025017,31
1000025018,0001000025018,684
1000025019,0001000025019,168
1000025020,0001000025020,232
1000025021,0001000025021,70
1000025022,0001000025022,80
1000025023,0001000025023,72
1000025024,0001000025024,90
1000025025,0001000025025,1311
1000025026,0001000025026,411
1000025027,0001000025027,652
1000025028,0001000025028,76
1000025029,0001000025029,269
1000025030,0001000025030,65
1000025031,0001000025031,16
1000025032,0001000025032,68
1000025033,0001000025033,67
1000025034,0001000025034,18
1000025035,0001000025035,5
1000025036,0001000025036,15
1000025037,0001000025037,490
1000025038,0001000025038,66
1000025039,0001000025039,143
1000025040,0001000025040,35
1000025041,0001000025041,120
1000025042,0001000025042,487
1000025043,0001000025043,70
1000025044,0001000025044,115
1000025045,0001000025045,66
1000025046,0001000025046,208
1000025047,0001000025047,1379
1000025048,0001000025048,290
1000025049,0001000025049,674
1000025050,0001000025050,140
1000025051,0001000025051,267
1000025052,0001000025052,106
1000025053,0001000025053,90
1000025054,0001000025054,310
1000025055,0001000025055,18
1000025056,0001000025056,32
1000025057,0001000025057,136
1000025058,0001000025058,128
1000025059,0001000025059,4
1000025060,0001000025060,60
1000025061,0001000025061,4128
1000025062,0001000025062,276
1000025063,0001000025063,4632
1000025064,0001000025064,584
1000025065,0001000025065,49
1000025066,0001000025066,251
1000025067,0001000025067,104
1000025068,0001000025068,81
1000025069,0001000025069,44
1000025070,0001000025070,51
1000025071,0001000025071,66
1000025072,0001000025072,2170
1000025073,0001000025073,1008
1000025074,0001000025074,855
1000025075,0001000025075,1752
1000025076,0001000025076,302
1000025077,0001000025077,30
1000025078,0001000025078,1759
1000025079,0001000025079,516
1000025080,0001000025080,267
1000025081,0001000025081,284
1000025082,0001000025082,334
1000025083,0001000025083,315
1000025084,0001000025084,420
1000025085,0001000025085,991
1000025086,0001000025086,1040
1000025087,0001000025087,764
1000025088,0001000025088,830
1000025089,0001000025089,2
1000025090,0001000025090,1111
1000025091,0001000025091,1640
1000025092,0001000025092,697
1000025093,0001000025093,598
1000025094,0001000025094,20
1000025095,0001000025095,812
1000025096,0001000025096,114
1000025097,0001000025097,441
1000025098,0001000025098,116
1000025099,0001000025099,644
1000025100,0001000025100,922
1000025101,0001000025101,806
1000025102,0001000025102,630
1000025103,0001000025103,288
1000025104,0001000025104,437
1000025105,0001000025105,80
1000025106,0001000025106,39
1000025107,0001000025107,32
1000025108,0001000025108,92
1000025109,0001000025109,27
1000025110,0001000025110,136
1000025111,0001000025111,167
1000025112,0001000025112,7
1000025113,0001000025113,409
1000025114,0001000025114,35
1000025115,0001000025115,176
1000025116,0001000025116,159
1000025117,0001000025117,304
1000025118,0001000025118,277
1000025119,0001000025119,20
1000025120,0001000025120,7
1000025121,0001000025121,303
1000025122,0001000025122,290
1000025123,0001000025123,1884
1000025124,0001000025124,4
1000025125,0001000025125,12
1000025126,0001000025126,216
1000025127,0001000025127,131
1000025128,0001000025128,349
1000025129,0001000025129,335
1000025130,0001000025130,504
1000025131,0001000025131,179
1000025132,0001000025132,265
1000025133,0001000025133,30
1000025134,0001000025134,4
1000025135,0001000025135,318
1000025136,0001000025136,470
1000025137,0001000025137,260
1000025138,0001000025138,184
1000025139,0001000025139,96
1000025140,0001000025140,202
1000025141,0001000025141,122
1000025142,0001000025142,18
1000025143,0001000025143,64
1000025144,0001000025144,40
1000025145,0001000025145,37
1000025146,0001000025146,243
1000025147,0001000025147,95
1000025148,0001000025148,50
1000025149,0001000025149,64
1000025150,0001000025150,21
1000025151,0001000025151,70
1000025152,0001000025152,92
1000025153,0001000025153,165
1000025154,0001000025154,573
1000025155,0001000025155,3
1000025156,0001000025156,296
1000025157,0001000025157,1999
1000025158,0001000025158,51
1000025159,0001000025159,165
1000025160,0001000025160,97
1000025161,0001000025161,281
1000025162,0001000025162,76
1000025163,0001000025163,1128
1000025164,0001000025164,273
1000025165,0001000025165,128
1000025166,0001000025166,162
1000025167,0001000025167,244
1000025168,0001000025168,4
1000025169,0001000025169,405
1000025170,0001000025170,386
1000025171,0001000025171,121
1000025172,0001000025172,146
1000025173,0001000025173,88
1000025174,0001000025174,135
1000025175,0001000025175,175
1000025176,0001000025176,88
1000025177,0001000025177,102
1000025178,0001000025178,330
1000025179,0001000025179,494
1000025180,0001000025180,15
1000025181,0001000025181,380
1000025182,0001000025182,901
1000025183,0001000025183,110
1000025184,0001000025184,238
1000025185,0001000025185,319
1000025186,0001000025186,175
1000025187,0001000025187,129
1000025188,0001000025188,100
1000025189,0001000025189,37
1000025190,0001000025190,166
1000025191,0001000025191,135
1000025192,0001000025192,153
1000025193,0001000025193,928
1000025194,0001000025194,710
1000025195,0001000025195,200
1000025196,0001000025196,146
1000025197,0001000025197,160
1000025198,0001000025198,142
1000025199,0001000025199,200
1000025200,0001000025200,230
1000025201,0001000025201,367
1000025202,0001000025202,130
1000025203,0001000025203,257
1000025204,0001000025204,117
1000025205,0001000025205,190
1000025206,0001000025206,200
1000025207,0001000025207,95
1000025208,0001000025208,221
1000025209,0001000025209,254
1000025210,0001000025210,59
1000025211,0001000025211,38
1000025212,0001000025212,56
1000025213,0001000025213,6
1000025214,0001000025214,11
1000025215,0001000025215,193
1000025216,0001000025216,60
1000025217,0001000025217,4
1000025218,0001000025218,325
1000025219,0001000025219,52
1000025220,0001000025220,42
1000025221,0001000025221,16
1000025222,0001000025222,155
1000025223,0001000025223,177
1000025224,0001000025224,6
1000025225,0001000025225,156
1000025226,0001000025226,575
1000025227,0001000025227,144
1000025228,0001000025228,244
1000025229,0001000025229,565
1000025230,0001000025230,263
1000025231,0001000025231,411
1000025232,0001000025232,191
1000025233,0001000025233,339
1000025234,0001000025234,566
1000025235,0001000025235,166
1000025236,0001000025236,279
1000025237,0001000025237,86
1000025238,0001000025238,95
1000025239,0001000025239,186
1000025240,0001000025240,79
1000025241,0001000025241,86
1000025242,0001000025242,192
1000025243,0001000025243,32
1000025244,0001000025244,58
1000025245,0001000025245,120
1000025246,0001000025246,130
1000025247,0001000025247,41
1000025248,0001000025248,111
1000025249,0001000025249,142
1000025250,0001000025250,81
1000025251,0001000025251,158
1000025252,0001000025252,63
1000025253,0001000025253,490
1000025254,0001000025254,66
1000025255,0001000025255,121
1000025256,0001000025256,83
1000025257,0001000025257,202
1000025258,0001000025258,94
1000025259,0001000025259,91
1000025260,0001000025260,126
1000025261,0001000025261,35
1000025262,0001000025262,70
1000025263,0001000025263,6
1000025264,0001000025264,11
1000025265,0001000025265,46
1000025266,0001000025266,59
1000025267,0001000025267,160
1000025268,0001000025268,4
1000025269,0001000025269,30
1000025270,0001000025270,112
1000025271,0001000025271,90
1000025272,0001000025272,22
1000025273,0001000025273,62
1000025274,0001000025274,52
1000025275,0001000025275,13
1000025276,0001000025276,71
1000025277,0001000025277,60
1000025278,0001000025278,144
1000025279,0001000025279,38
1000025280,0001000025280,45
1000025281,0001000025281,30
1000025282,0001000025282,144
1000025283,0001000025283,30
1000025284,0001000025284,44
1000025285,0001000025285,25
1000025286,0001000025286,42
1000025287,0001000025287,45
1000025288,0001000025288,47
1000025289,0001000025289,52
1000025290,0001000025290,870
1000025291,0001000025291,1650
1000025292,0001000025292,360
1000025293,0001000025293,200
1000025294,0001000025294,201
1000025295,0001000025295,74
1000025296,0001000025296,117
1000025297,0001000025297,114
1000025298,0001000025298,281
1000025299,0001000025299,153
1000025300,0001000025300,685
1000025301,0001000025301,1747
1000025302,0001000025302,1157
1000025303,0001000025303,154
1000025304,0001000025304,2196
1000025305,0001000025305,399
1000025306,0001000025306,287
1000025307,0001000025307,326
1000025308,0001000025308,454
1000025309,0001000025309,361
1000025310,0001000025310,326
1000025311,0001000025311,24
1000025312,0001000025312,1314
1000025313,0001000025313,339
1000025314,0001000025314,231
1000025315,0001000025315,90
1000025316,0001000025316,145
1000025317,0001000025317,29
1000025318,0001000025318,90
1000025319,0001000025319,168
1000025320,0001000025320,75
1000025321,0001000025321,76
1000025322,0001000025322,102
1000025323,0001000025323,152
1000025324,0001000025324,386
1000025325,0001000025325,860
1000025326,0001000025326,398
1000025327,0001000025327,4
1000025328,0001000025328,104
1000025329,0001000025329,136
1000025330,0001000025330,62
1000025331,0001000025331,93
1000025332,0001000025332,60
1000025333,0001000025333,90
1000025334,0001000025334,35
1000025335,0001000025335,48
1000025337,0001000025337,25
1000025338,0001000025338,4392
1000025339,0001000025339,950
1000025340,0001000025340,110
1000025341,0001000025341,170
1000025342,0001000025342,40
1000025343,0001000025343,59
1000025344,0001000025344,40
1000025345,0001000025345,34
1000025346,0001000025346,21
1000025347,0001000025347,80
1000025348,0001000025348,20
1000025349,0001000025349,32
1000025350,0001000025350,396
1000025351,0001000025351,107
1000025352,0001000025352,66
1000025353,0001000025353,50
1000025354,0001000025354,15
1000025355,0001000025355,15
1000025356,0001000025356,25
1000025357,0001000025357,1704
1000025358,0001000025358,627
1000025359,0001000025359,132
1000025360,0001000025360,1150
1000025361,0001000025361,295
1000025362,0001000025362,288
1000025363,0001000025363,140
1000025364,0001000025364,66
1000025365,0001000025365,257
1000025366,0001000025366,83
1000025367,0001000025367,90
1000025368,0001000025368,29
1000025369,0001000025369,43
1000025370,0001000025370,23
1000025371,0001000025371,390
1000025372,0001000025372,290
1000025373,0001000025373,42
1000025374,0001000025374,108
1000025375,0001000025375,231
1000025376,0001000025376,108
1000025377,0001000025377,98
1000025378,0001000025378,222
1000025379,0001000025379,66
1000025380,0001000025380,176
1000025381,0001000025381,104
1000025382,0001000025382,20
1000025383,0001000025383,22
1000025384,0001000025384,9
1000025385,0001000025385,18
1000025386,0001000025386,68
1000025387,0001000025387,3
1000025388,0001000025388,50
1000025389,0001000025389,37
1000025390,0001000025390,22
1000025391,0001000025391,36
1000025392,0001000025392,887
1000025393,0001000025393,3
1000025394,0001000025394,363
1000025395,0001000025395,3
1000025396,0001000025396,339
1000025397,0001000025397,78
1000025398,0001000025398,61
1000025399,0001000025399,57
1000025400,0001000025400,42
1000025401,0001000025401,211
1000025402,0001000025402,230
1000025403,0001000025403,26
1000025404,0001000025404,40
1000025405,0001000025405,48
1000025406,0001000025406,264
1000025407,0001000025407,119
1000025408,0001000025408,96
1000025409,0001000025409,82
1000025412,0001000025412,314
1000025413,0001000025413,11
1000025414,0001000025414,630
1000025415,0001000025415,2
1000025416,0001000025416,26
1000025417,0001000025417,40
1000025418,0001000025418,6
1000025419,0001000025419,54
1000025420,0001000025420,96
1000025421,0001000025421,309
1000025422,0001000025422,101
1000025423,0001000025423,40
1000025424,0001000025424,24
1000025425,0001000025425,39
1000025426,0001000025426,39
1000025427,0001000025427,15
1000025428,0001000025428,74
1000025429,0001000025429,10
1000025430,0001000025430,34
1000025431,0001000025431,36
1000025432,0001000025432,100
1000025433,0001000025433,10
1000025434,0001000025434,10
1000025435,0001000025435,93
1000025436,0001000025436,40
1000025437,0001000025437,70
1000025438,0001000025438,913
1000025439,0001000025439,118
1000025440,0001000025440,82
1000025441,0001000025441,50
1000025442,0001000025442,7
1000025443,0001000025443,7
1000025444,0001000025444,4
1000025445,0001000025445,5
1000025446,0001000025446,20
1000025447,0001000025447,23
1000025448,0001000025448,145
1000025449,0001000025449,30
1000025450,0001000025450,16
1000025451,0001000025451,3
1000025452,0001000025452,124
1000025453,0001000025453,40
1000025454,0001000025454,1035
1000025455,0001000025455,3427
1000025456,0001000025456,933
1000025457,0001000025457,132
1000025458,0001000025458,279
1000025459,0001000025459,135
1000025460,0001000025460,286
1000025461,0001000025461,272
1000025462,0001000025462,5
1000025463,0001000025463,589
1000025464,0001000025464,575
1000025465,0001000025465,438
1000025466,0001000025466,450
1000025467,0001000025467,28
1000025468,0001000025468,349
1000025469,0001000025469,315
1000025470,0001000025470,100
1000025471,0001000025471,170
1000025472,0001000025472,50
1000025473,0001000025473,112
1000025474,0001000025474,30
1000025475,0001000025475,1450
1000025476,0001000025476,370
1000025477,0001000025477,2087
1000025478,0001000025478,788
1000025479,0001000025479,2165
1000025480,0001000025480,1779
1000025481,0001000025481,348
1000025482,0001000025482,386
1000025483,0001000025483,383
1000025484,0001000025484,560
1000025485,0001000025485,508
1000025486,0001000025486,2102
1000025487,0001000025487,10
1000025488,0001000025488,87
1000025489,0001000025489,86
1000025490,0001000025490,104
1000025491,0001000025491,383
1000025492,0001000025492,38
1000025493,0001000025493,56
1000025494,0001000025494,4
1000025495,0001000025495,1522
1000025496,0001000025496,601
1000025497,0001000025497,1790
1000025498,0001000025498,100
1000025499,0001000025499,96
1000025500,0001000025500,1216
1000025501,0001000025501,352
1000025502,0001000025502,31
1000025503,0001000025503,354
1000025504,0001000025504,324
1000025505,0001000025505,296
1000025506,0001000025506,73
1000025507,0001000025507,160
1000025508,0001000025508,6
1000025509,0001000025509,219
1000025510,0001000025510,647
1000025511,0001000025511,161
1000025512,0001000025512,345
1000025513,0001000025513,108
1000025514,0001000025514,1017
1000025515,0001000025515,440
1000025516,0001000025516,44
1000025517,0001000025517,146
1000025518,0001000025518,146
1000025519,0001000025519,268
1000025520,0001000025520,94
1000025521,0001000025521,140
1000025522,0001000025522,34
1000025523,0001000025523,195
1000025524,0001000025524,111
1000025525,0001000025525,40
1000025526,0001000025526,238
1000025527,0001000025527,213
1000025529,0001000025529,308
1000025530,0001000025530,100
1000025531,0001000025531,49
1000025532,0001000025532,92
1000025533,0001000025533,64
1000025534,0001000025534,77
1000025535,0001000025535,254
1000025536,0001000025536,19
1000025537,0001000025537,396
1000025538,0001000025538,398
1000025539,0001000025539,245
1000025540,0001000025540,326
1000025541,0001000025541,1579
1000025542,0001000025542,993
1000025543,0001000025543,36
1000025544,0001000025544,252
1000025545,0001000025545,1178
1000025547,0001000025547,304
1000025548,0001000025548,600
1000025549,0001000025549,332
1000025550,0001000025550,660
1000025551,0001000025551,624
1000025552,0001000025552,209
1000025553,0001000025553,350
1000025554,0001000025554,420
1000025555,0001000025555,316
1000025556,0001000025556,112
1000025557,0001000025557,302
1000025558,0001000025558,264
1000025559,0001000025559,8
1000025560,0001000025560,199
1000025561,0001000025561,120
1000025562,0001000025562,252
1000025563,0001000025563,135
1000025564,0001000025564,20
1000025566,0001000025566,17
1000025567,0001000025567,98
1000025568,0001000025568,930
1000025569,0001000025569,120
1000025570,0001000025570,149
1000025571,0001000025571,60
1000025572,0001000025572,332
1000025573,0001000025573,180
1000025574,0001000025574,217
1000025575,0001000025575,92
1000025576,0001000025576,88
1000025577,0001000025577,490
1000025578,0001000025578,1268
1000025579,0001000025579,786
1000025580,0001000025580,545
1000025581,0001000025581,159
1000025582,0001000025582,270
1000025583,0001000025583,90
1000025584,0001000025584,266
1000025585,0001000025585,158
1000025586,0001000025586,40
1000025587,0001000025587,52
1000025588,0001000025588,610
1000025589,0001000025589,97
1000025590,0001000025590,507
1000025591,0001000025591,197
1000025592,0001000025592,121
1000025593,0001000025593,28
1000025594,0001000025594,80
1000025595,0001000025595,54
1000025596,0001000025596,106
1000025597,0001000025597,101
1000025598,0001000025598,362
1000025599,0001000025599,137
1000025600,0001000025600,38
1000025601,0001000025601,30
1000025602,0001000025602,80
1000025603,0001000025603,65
1000025604,0001000025604,120
1000025605,0001000025605,12
1000025606,0001000025606,1955
1000025607,0001000025607,48
1000025608,0001000025608,1093
1000025610,0001000025610,296
1000025611,0001000025611,399
1000025612,0001000025612,128
1000025613,0001000025613,300
1000025614,0001000025614,177
1000025615,0001000025615,24
1000025616,0001000025616,88
1000025617,0001000025617,8
1000025618,0001000025618,28
1000025620,0001000025620,30
1000025621,0001000025621,291
1000025622,0001000025622,31
1000025623,0001000025623,360
1000025624,0001000025624,323
1000025625,0001000025625,68
1000025626,0001000025626,188
1000025627,0001000025627,124
1000025628,0001000025628,192
1000025629,0001000025629,20
1000025630,0001000025630,30
1000025631,0001000025631,3
1000025632,0001000025632,57
1000025633,0001000025633,210
1000025635,0001000025635,42
1000025636,0001000025636,402
1000025637,0001000025637,122
1000025638,0001000025638,232
1000025639,0001000025639,200
1000025640,0001000025640,186
1000025641,0001000025641,60
1000025642,0001000025642,50
1000025643,0001000025643,16
1000025644,0001000025644,100
1000025645,0001000025645,40
1000025646,0001000025646,9
1000025647,0001000025647,434
1000025648,0001000025648,22
1000025649,0001000025649,100
1000025650,0001000025650,818
1000025651,0001000025651,84
1000025652,0001000025652,152
1000025653,0001000025653,67
1000025654,0001000025654,135
1000025655,0001000025655,60
1000025656,0001000025656,50
1000025657,0001000025657,50
1000025658,0001000025658,5
1000025659,0001000025659,9
1000025660,0001000025660,54
1000025661,0001000025661,262
1000025662,0001000025662,271
1000025663,0001000025663,480
1000025664,0001000025664,60
1000025665,0001000025665,93
1000025666,0001000025666,130
1000025667,0001000025667,6
1000025668,0001000025668,762
1000025670,0001000025670,20
1000025671,0001000025671,20
1000025672,0001000025672,16
1000025673,0001000025673,520
1000025674,0001000025674,150
1000025675,0001000025675,152
1000025676,0001000025676,1
1000025677,0001000025677,80
1000025678,0001000025678,50
1000025679,0001000025679,31
1000025680,0001000025680,70
1000025681,0001000025681,120
1000025682,0001000025682,306
1000025683,0001000025683,131
1000025684,0001000025684,594
1000025685,0001000025685,109
1000025686,0001000025686,38
1000025687,0001000025687,165
1000025688,0001000025688,83
1000025690,0001000025690,52
1000025691,0001000025691,47
1000025692,0001000025692,424
1000025694,0001000025694,256
1000025695,0001000025695,86
1000025696,0001000025696,412
1000025697,0001000025697,225
1000025699,0001000025699,290
1000025701,0001000025701,60
1000025702,0001000025702,50
1000025703,0001000025703,160
1000025704,0001000025704,366
1000025705,0001000025705,1909
1000025706,0001000025706,1339
1000025707,0001000025707,77
1000025708,0001000025708,614
1000025709,0001000025709,197
1000025710,0001000025710,123
1000025711,0001000025711,15
1000025712,0001000025712,155
1000025713,0001000025713,27
1000025714,0001000025714,450
1000025715,0001000025715,577
1000025716,0001000025716,929
1000025717,0001000025717,1536
1000025718,0001000025718,467
1000025719,0001000025719,194
1000025720,0001000025720,1452
1000025721,0001000025721,110
1000025722,0001000025722,213
1000025723,0001000025723,111
1000025724,0001000025724,128
1000025725,0001000025725,258
1000025726,0001000025726,80
1000025727,0001000025727,10
1000025728,0001000025728,90
1000025729,0001000025729,545
1000025730,0001000025730,224
1000025731,0001000025731,110
1000025732,0001000025732,32
1000025733,0001000025733,7
1000025734,0001000025734,402
1000025735,0001000025735,300
1000025736,0001000025736,451
1000025738,0001000025738,53
1000025739,0001000025739,123
1000025740,0001000025740,75
1000025741,0001000025741,40
1000025742,0001000025742,375
1000025743,0001000025743,172
1000025745,0001000025745,307
1000025746,0001000025746,95
1000025747,0001000025747,102
1000025748,0001000025748,27
1000025749,0001000025749,648
1000025750,0001000025750,320
1000025751,0001000025751,94
1000025752,0001000025752,306
1000025753,0001000025753,290
1000025754,0001000025754,62
1000025755,0001000025755,176
1000025756,0001000025756,32
1000025757,0001000025757,222
1000025758,0001000025758,140
1000025759,0001000025759,279
1000025760,0001000025760,631
1000025761,0001000025761,607
1000025762,0001000025762,262
1000025763,0001000025763,345
1000025764,0001000025764,5
1000025765,0001000025765,987
1000025766,0001000025766,594
1000025767,0001000025767,126
1000025768,0001000025768,14
1000025769,0001000025769,406
1000025770,0001000025770,119
1000025771,0001000025771,708
1000025773,0001000025773,410
1000025774,0001000025774,855
1000025775,0001000025775,349
1000025776,0001000025776,371
1000025777,0001000025777,253
1000025778,0001000025778,188
1000025779,0001000025779,671
1000025780,0001000025780,500
1000025781,0001000025781,20
1000025782,0001000025782,220
1000025783,0001000025783,240
1000025784,0001000025784,198
1000025785,0001000025785,393
1000025786,0001000025786,155
1000025787,0001000025787,623
1000025788,0001000025788,102
1000025789,0001000025789,80
1000025790,0001000025790,419
1000025791,0001000025791,401
1000025792,0001000025792,310
1000025793,0001000025793,152
1000025794,0001000025794,133
1000025795,0001000025795,32
1000025796,0001000025796,172
1000025797,0001000025797,167
1000025798,0001000025798,231
1000025799,0001000025799,225
1000025800,0001000025800,198
1000025801,0001000025801,619
1000025802,0001000025802,338
1000025803,0001000025803,195
1000025804,0001000025804,170
1000025805,0001000025805,62
1000025806,0001000025806,100
1000025807,0001000025807,142
1000025808,0001000025808,240
1000025809,0001000025809,280
1000025810,0001000025810,173
1000025811,0001000025811,108
1000025812,0001000025812,2
1000025813,0001000025813,90
1000025814,0001000025814,111
1000025815,0001000025815,130
1000025816,0001000025816,138
1000025817,0001000025817,108
1000025818,0001000025818,57
1000025819,0001000025819,92
1000025820,0001000025820,110
1000025821,0001000025821,40
1000025822,0001000025822,20
1000025823,0001000025823,89
1000025824,0001000025824,120
1000025825,0001000025825,71
1000025826,0001000025826,85
1000025827,0001000025827,30
1000025828,0001000025828,40
1000025829,0001000025829,100
1000025830,0001000025830,75
1000025831,0001000025831,45
1000025832,0001000025832,160
1000025833,0001000025833,52
1000025834,0001000025834,159
1000025835,0001000025835,77
1000025836,0001000025836,131
1000025837,0001000025837,43
1000025838,0001000025838,87
1000025839,0001000025839,12
1000025840,0001000025840,12
1000025841,0001000025841,150
1000025842,0001000025842,45
1000025843,0001000025843,70
1000025844,0001000025844,110
1000025846,0001000025846,1020
1000025847,0001000025847,24
1000025849,0001000025849,241
1000025850,0001000025850,2068
1000025851,0001000025851,47
1000025852,0001000025852,705
1000025853,0001000025853,215
1000025854,0001000025854,76
1000025855,0001000025855,312
1000025856,0001000025856,526
1000025857,0001000025857,689
1000025858,0001000025858,123
1000025859,0001000025859,389
1000025860,0001000025860,41
1000025861,0001000025861,1870
1000025862,0001000025862,320
1000025863,0001000025863,167
1000025864,0001000025864,174
1000025865,0001000025865,40
1000025866,0001000025866,244
1000025867,0001000025867,204
1000025868,0001000025868,145
1000025869,0001000025869,170
1000025870,0001000025870,514
1000025871,0001000025871,209
1000025872,0001000025872,251
1000025873,0001000025873,79
1000025874,0001000025874,122
1000025875,0001000025875,504
1000025876,0001000025876,112
1000025877,0001000025877,132
1000025878,0001000025878,76
1000025879,0001000025879,218
1000025880,0001000025880,162
1000025881,0001000025881,221
1000025882,0001000025882,155
1000025883,0001000025883,262
1000025884,0001000025884,150
1000025885,0001000025885,60
1000025886,0001000025886,39
1000025887,0001000025887,62
1000025888,0001000025888,40
1000025889,0001000025889,134
1000025890,0001000025890,116
1000025891,0001000025891,595
1000025892,0001000025892,473
1000025893,0001000025893,508
1000025894,0001000025894,428
1000025895,0001000025895,408
1000025896,0001000025896,51
1000025897,0001000025897,541
1000025898,0001000025898,243
1000025899,0001000025899,279
1000025900,0001000025900,234
1000025901,0001000025901,87
1000025902,0001000025902,91
1000025903,0001000025903,99
1000025904,0001000025904,184
1000025905,0001000025905,76
1000025906,0001000025906,24
1000025907,0001000025907,10
1000025908,0001000025908,160
1000025909,0001000025909,181
1000025910,0001000025910,40
1000025911,0001000025911,70
1000025912,0001000025912,80
1000025913,0001000025913,19
1000025914,0001000025914,41
1000025915,0001000025915,30
1000025916,0001000025916,70
1000025917,0001000025917,880
1000025918,0001000025918,1008
1000025919,0001000025919,300
1000025920,0001000025920,60
1000025921,0001000025921,407
1000025922,0001000025922,194
1000025923,0001000025923,7
1000025924,0001000025924,9
1000025925,0001000025925,224
1000025926,0001000025926,26
1000025927,0001000025927,155
1000025928,0001000025928,122
1000025929,0001000025929,275
1000025930,0001000025930,260
1000025931,0001000025931,190
1000025932,0001000025932,140
1000025933,0001000025933,96
1000025934,0001000025934,700
1000025935,0001000025935,954
1000025936,0001000025936,1109
1000025937,0001000025937,1032
1000025938,0001000025938,508
1000025939,0001000025939,863
1000025940,0001000025940,56
1000025942,0001000025942,344
1000025943,0001000025943,32
1000025944,0001000025944,662
1000025945,0001000025945,16
1000025946,0001000025946,15
1000025947,0001000025947,16
1000025948,0001000025948,17
1000025949,0001000025949,140
1000025950,0001000025950,150
1000025951,0001000025951,234
1000025952,0001000025952,96
1000025953,0001000025953,91
1000025954,0001000025954,115
1000025955,0001000025955,38
1000025956,0001000025956,755
1000025957,0001000025957,652
1000025958,0001000025958,575
1000025960,0001000025960,98
1000025961,0001000025961,14
1000025962,0001000025962,917
1000025963,0001000025963,101
1000025964,0001000025964,864
1000025965,0001000025965,1662
1000025966,0001000025966,206
1000025967,0001000025967,525
1000025968,0001000025968,561
1000025969,0001000025969,241
1000025970,0001000025970,328
1000025971,0001000025971,160
1000025972,0001000025972,269
1000025973,0001000025973,360
1000025974,0001000025974,471
1000025975,0001000025975,246
1000025976,0001000025976,32
1000025977,0001000025977,6
1000025978,0001000025978,50
1000025979,0001000025979,30
1000025980,0001000025980,275
1000025981,0001000025981,126
1000025982,0001000025982,167
1000025983,0001000025983,60
1000025984,0001000025984,72
1000025985,0001000025985,2024
1000025986,0001000025986,1324
1000025987,0001000025987,770
1000025988,0001000025988,220
1000025989,0001000025989,189
1000025990,0001000025990,177
1000025991,0001000025991,316
1000025992,0001000025992,199
1000025993,0001000025993,57
1000025994,0001000025994,191
1000025995,0001000025995,40
1000025996,0001000025996,61
1000025997,0001000025997,14
1000025998,0001000025998,6972
1000025999,0001000025999,159
1000026000,0001000026000,122
1000026001,0001000026001,807
1000026002,0001000026002,494
1000026003,0001000026003,1054
1000026004,0001000026004,1915
1000026005,0001000026005,55
1000026006,0001000026006,175
1000026007,0001000026007,110
1000026008,0001000026008,28
1000026009,0001000026009,648
1000026010,0001000026010,989
1000026011,0001000026011,2138
1000026012,0001000026012,24
1000026013,0001000026013,844
1000026014,0001000026014,12
1000026015,0001000026015,951
1000026016,0001000026016,1796
1000026017,0001000026017,74
1000026018,0001000026018,495
1000026019,0001000026019,842
1000026020,0001000026020,253
1000026021,0001000026021,159
1000026022,0001000026022,175
1000026023,0001000026023,162
1000026024,0001000026024,18
1000026025,0001000026025,23
1000026026,0001000026026,82
1000026027,0001000026027,178
1000026028,0001000026028,241
1000026029,0001000026029,20
1000026030,0001000026030,68
1000026031,0001000026031,1034
1000026032,0001000026032,18
1000026033,0001000026033,267
1000026034,0001000026034,516
1000026035,0001000026035,314
1000026036,0001000026036,128
1000026037,0001000026037,210
1000026038,0001000026038,75
1000026039,0001000026039,20
1000026040,0001000026040,388
1000026041,0001000026041,345
1000026042,0001000026042,570
1000026043,0001000026043,407
1000026044,0001000026044,111
1000026045,0001000026045,480
1000026046,0001000026046,162
1000026047,0001000026047,163
1000026048,0001000026048,4
1000026049,0001000026049,169
1000026050,0001000026050,325
1000026051,0001000026051,7
1000026054,0001000026054,149
1000026055,0001000026055,138
1000026056,0001000026056,122
1000026057,0001000026057,37
1000026059,0001000026059,142
1000026060,0001000026060,145
1000026061,0001000026061,126
1000026062,0001000026062,117
1000026063,0001000026063,209
1000026064,0001000026064,154
1000026065,0001000026065,10
1000026066,0001000026066,24
1000026067,0001000026067,157
1000026068,0001000026068,113
1000026069,0001000026069,2
1000026070,0001000026070,229
1000026071,0001000026071,74
1000026072,0001000026072,89
1000026073,0001000026073,41
1000026074,0001000026074,20
1000026075,0001000026075,12
1000026076,0001000026076,18
1000026077,0001000026077,340
1000026078,0001000026078,57
1000026079,0001000026079,33
1000026080,0001000026080,80
1000026081,0001000026081,2
1000026082,0001000026082,43
1000026083,0001000026083,38
1000026084,0001000026084,49
1000026085,0001000026085,300
1000026086,0001000026086,128
1000026087,0001000026087,5
1000026088,0001000026088,18
1000026089,0001000026089,38
